"";"Run No.";"Current Normal Cost";"Current Salary";"Current AAL";"Current ARC";"Expected value of annuity";"Retirement Annuity";"Replacement Rate";"Entry Age";"Retirement Age";"Current Age";"Funding Level(%)";"Discount Rate(%)";"Salary growth rate(%)";"Inflation Rate(%)";"Payroll Growth Rate(%)";"COLA (%)";"AFC";"Benefit Factor(%)";"Cost Method";"Mortality Table";"Vesting Period";"Amortization Period"
"1";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";NA;NA;"NA";"NA"
"2";"0";"0.466211133167938";"1";"0";"3.15011669515951";"25.3591954999557";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"EAN";"RP2014_Employee_total";"5";"30"
"3";"1";"0.443443867477851";"1";"0";"3.12734942946943";"23.9896755189796";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"EAN";"RP2000_Employee_total";"5";"30"
"4";"2";"0.452124429999267";"1";"0";"3.13602999199084";"24.5049147810796";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"EAN";"RP2010_Employee_total";"5";"30"
"5";"3";"0.463017101578094";"1";"0";"3.14692266356967";"25.3591954999557";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"PUC";"RP2014_Employee_total";"5";"30"
"6";"4";"0.439224972470496";"1";"0";"3.12313053446207";"23.9896755189796";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"PUC";"RP2000_Employee_total";"5";"30"
"7";"5";"0.44826174658468";"1";"0";"3.13216730857626";"24.5049147810796";"1.456";"60";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.02";"PUC";"RP2010_Employee_total";"5";"30"
"8";"6";"0.699316699751908";"1";"0";"3.38322226174348";"38.0387932499335";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"EAN";"RP2014_Employee_total";"5";"30"
"9";"7";"0.665165801216776";"1";"0";"3.34907136320835";"35.9845132784693";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"EAN";"RP2000_Employee_total";"5";"30"
"10";"8";"0.678186644998901";"1";"0";"3.36209220699048";"36.7573721716193";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"EAN";"RP2010_Employee_total";"5";"30"
"11";"9";"0.694525652367142";"1";"0";"3.37843121435872";"38.0387932499335";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"PUC";"RP2014_Employee_total";"5";"30"
"12";"10";"0.658837458705744";"1";"0";"3.34274302069732";"35.9845132784693";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"PUC";"RP2000_Employee_total";"5";"30"
"13";"11";"0.672392619877021";"1";"0";"3.3562981818686";"36.7573721716193";"2.185";"90";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.03";"PUC";"RP2010_Employee_total";"5";"30"
"14";"12";"0.932422266335877";"1";"0";"3.61632782832745";"50.7183909999114";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"EAN";"RP2014_Employee_total";"5";"30"
"15";"13";"0.886887734955701";"1";"0";"3.57079329694728";"47.9793510379591";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"EAN";"RP2000_Employee_total";"5";"30"
"16";"14";"0.904248859998535";"1";"0";"3.58815442199011";"49.0098295621591";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"EAN";"RP2010_Employee_total";"5";"30"
"17";"15";"0.926034203156189";"1";"0";"3.60993976514777";"50.7183909999114";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"PUC";"RP2014_Employee_total";"5";"30"
"18";"16";"0.878449944940992";"1";"0";"3.56235550693257";"47.9793510379591";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"PUC";"RP2000_Employee_total";"5";"30"
"19";"17";"0.896523493169361";"1";"0";"3.58042905516094";"49.0098295621591";"2.913";"120";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.04";"PUC";"RP2010_Employee_total";"5";"30"
"20";"18";"1.16552783291985";"1";"0";"3.84943339491142";"63.3979887498892";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"EAN";"RP2014_Employee_total";"5";"30"
"21";"19";"1.10860966869463";"1";"0";"3.7925152306862";"59.9741887974489";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"EAN";"RP2000_Employee_total";"5";"30"
"22";"20";"1.13031107499817";"1";"0";"3.81421663698975";"61.2622869526989";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"EAN";"RP2010_Employee_total";"5";"30"
"23";"21";"1.15754275394524";"1";"0";"3.84144831593681";"63.3979887498892";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"PUC";"RP2014_Employee_total";"5";"30"
"24";"22";"1.09806243117624";"1";"0";"3.78196799316782";"59.9741887974489";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"PUC";"RP2000_Employee_total";"5";"30"
"25";"23";"1.1206543664617";"1";"0";"3.80455992845328";"61.2622869526989";"3.641";"150";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.05";"PUC";"RP2010_Employee_total";"5";"30"
"26";"24";"1.39863339950382";"1";"0";"4.08253896149539";"76.0775864998671";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"EAN";"RP2014_Employee_total";"5";"30"
"27";"25";"1.33033160243355";"1";"0";"4.01423716442513";"71.9690265569387";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"EAN";"RP2000_Employee_total";"5";"30"
"28";"26";"1.3563732899978";"1";"0";"4.04027885198938";"73.5147443432387";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"EAN";"RP2010_Employee_total";"5";"30"
"29";"27";"1.38905130473428";"1";"0";"4.07295686672586";"76.0775864998671";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"PUC";"RP2014_Employee_total";"5";"30"
"30";"28";"1.31767491741149";"1";"0";"4.00158047940307";"71.9690265569387";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"PUC";"RP2000_Employee_total";"5";"30"
"31";"29";"1.34478523975404";"1";"0";"4.02869080174562";"73.5147443432387";"4.369";"180";"25";"55";"25";"0.854";"0.03";"0.03";"0.02";"0.01";"0";"1";"0.06";"PUC";"RP2010_Employee_total";"5";"30"
