"";"Run No.";"Current Normal Cost";"Current Salary";"Current AAL";"Current ARC";"Expected value of annuity";"Retirement Annuity";"Replacement Rate";"Entry Age";"Retirement Age";"Current Age";"Funding Level(%)";"Discount Rate(%)";"Salary growth rate(%)";"Inflation Rate(%)";"Payroll Growth Rate(%)";"COLA (%)";"AFC";"Benefit Factor(%)";"Cost Method";"Mortality Table";"Vesting Period";"Amortization Period"
"1";0;0,850003928997619;3,20713547221285;17,0000785799524;0,850003928997619;82,0438339766118;8,39502775282031;109,22;25;60;45;0,854;0,09;0,06;0,02;0,04;0,02;10;0,04;"PUC";"RP2010_Employee_total";5;30
"2";1;0,709134736395093;1,55796741660076;15,1002743879864;0,709134736395093;29,4246938252131;2,75942414222527;131,79;30;55;45;0,854;0,07;0,03;0,02;0,01;0;10;0,06;"EAN";"RP2014_Employee_total";5;30
"3";2;0;0;5,07917678316688;0,0717741041516639;19,8553164648691;1,27957154723171;52,72;25;55;75;0,854;0,08;0,03;0,02;0,01;0,04;10;0,02;"PUC";"RP2014_Employee_total";5;30
"4";3;0;0;51,5973631529494;0,388366686529207;128,581033757231;4,61826058525628;136,38;30;55;75;0,854;0,04;0,05;0,02;0,03;0,04;5;0,06;"EAN";"RP2014_Employee_total";5;30
"5";4;0,961925788598196;1;0;2,52517776996364;34,316516359765;1,80611123466941;100;35;55;35;0,854;0,04;0,03;0,02;0,01;0,02;1;0,05;"PUC";"RP2000_Employee_total";5;30
"6";5;1,39343277129344;1,80611123466941;27,8686554258688;1,39343277129344;69,2780857565009;3,71651450498831;132,08;25;60;45;0,854;0,04;0,03;0,02;0,01;0,03;5;0,04;"PUC";"RP2000_Employee_total";5;30
"7";6;0,665897007568509;1;0;9,51662766217725;132,804411975015;9,60937299729416;125,02;25;60;25;0,854;0,05;0,06;0,02;0,04;0,01;5;0,04;"EAN";"RP2014_Employee_total";5;30
"8";7;0;0;25,2072562601344;0,384123720064989;32,5250826594382;2,9545555770901;105;25;60;65;0,854;0,06;0,03;0,02;0,01;0;1;0,03;"EAN";"RP2014_Employee_total";5;30
"9";8;0;0;30,8384015328959;0,324798629260373;63,0774870806407;5,12055043762886;72,74;25;65;75;0,854;0,03;0,05;0,02;0,03;0;5;0,02;"PUC";"RP2000_Employee_total";5;30
"10";9;1,74545392009441;3,20713547221285;34,9090784018882;1,74545392009441;114,031910636239;9,60937299729416;125,02;25;60;45;0,854;0,06;0,06;0,02;0,04;0,01;5;0,04;"PUC";"RP2010_Employee_total";5;30
"11";10;0,482011170045799;1;0;3,54376774830978;42,9885458986961;2,70298631556776;83,34;35;65;35;0,854;0,04;0,04;0,02;0,02;0,03;5;0,03;"EAN";"RP2010_Employee_total";5;30
"12";11;0,483345564238286;1;0;2,79493858432177;50,0735222164858;3,28309602502165;101,22;35;65;35;0,854;0,05;0,04;0,02;0,02;0,03;10;0,04;"EAN";"RP2014_Employee_total";5;30
"13";12;0,747874597915523;1,48024428491834;7,47874597915523;0,747874597915645;102,748384334612;8,28678688784508;210;25;60;35;0,854;0,07;0,04;0,02;0,02;0,02;1;0,06;"PUC";"RP2014_Employee_total";5;30
"14";13;0,736467620443864;1,62889462677744;12,0357940321971;0,736467620443864;116,486850759624;8,44798645454958;120;25;65;35;0,854;0,05;0,05;0,02;0,03;0,03;1;0,03;"EAN";"RP2000_Employee_total";5;30
"15";14;0,628680195131756;1;0;3,74006233101816;50,0021195647465;3,4612062821412;123,01;25;60;25;0,854;0,03;0,03;0,02;0,01;0;10;0,04;"PUC";"RP2000_Employee_total";5;30
"16";15;0;0;0,66255591902837;0,00633157496120962;14,8805081786;1,57033344724066;75;35;60;85;0,854;0,07;0,03;0,02;0,01;0;1;0,03;"EAN";"RP2000_Employee_total";5;30
"17";16;0,826613907870242;2,19112314303342;25,1712104445122;0,826613907870242;21,2345518175703;2,19112314303342;100;35;55;55;0,854;0,09;0,04;0,02;0,02;0,01;1;0,05;"EAN";"RP2014_Employee_total";5;30
"18";17;0,479422624317216;3,24339751002754;21,6886169457421;0,479422624317216;28,890556476952;2,33005984615862;59,05;25;60;55;0,854;0,07;0,04;0,02;0,02;0,02;10;0,02;"EAN";"RP2014_Employee_total";5;30
"19";18;0,163486028331421;1;0;3,06848794269371;29,7015954324864;2,68853704274243;46,81;35;65;35;0,854;0,07;0,06;0,02;0,04;0,02;10;0,02;"EAN";"RP2014_Employee_total";5;30
"20";19;0,661007869591833;1;3,5527136788005e-15;4,2679525149651;76,1615476025509;3,91444535039889;120;25;65;25;0,854;0,03;0,03;0,02;0,01;0,04;1;0,03;"EAN";"RP2000_Employee_total";5;30
"21";20;4,14954247418796;5,74349117291326;124,486274225639;4,14954247418796;210,22581237178;18,3707267566826;178,6;25;65;55;0,854;0,04;0,06;0,02;0,04;0;5;0,05;"PUC";"RP2010_Employee_total";5;30
"22";21;0,428534719509321;1;0;7,41233843184019;168,370098419034;12,3428615245511;120;25;65;25;0,854;0,06;0,06;0,02;0,04;0,03;1;0,03;"PUC";"RP2014_Employee_total";5;30
"23";22;0,702464058801826;3,20713547221285;14,0492811760365;0,702464058801826;11,9988079453825;1,14561588781326;35,72;35;55;55;0,854;0,09;0,06;0,02;0,04;0,02;5;0,02;"PUC";"RP2000_Employee_total";5;30
"24";23;0,300933770112929;1;0;1,51626876195754;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"25";23;0,309961783216317;1,03;0,322175035061623;0,367288905473138;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"26";23;0,319260636712806;1,0609;1,00273362041628;0,321964746253222;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"27";23;0,32883845581419;1,092727;1,41309077765786;0,328966008151002;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"28";23;0,338703609488616;1,12550881;1,85632781109017;0,338709626108277;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"29";23;0,348864717773274;1,1592740743;2,64475156977587;0,348865001576089;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"30";23;0,359330659306473;1,194052296529;3,13199428307618;0,359330672693398;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"31";23;0,370110579085667;1,22987386542487;3,64077945324887;0,370110579717126;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"32";23;0,392650313351984;1,30477318382924;4,73312884051579;0,392650313353389;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"33";23;0,404429822752544;1,34391637934412;5,5028986265824;0,40442982275261;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"34";23;0,41656271743512;1,38423387072445;6,17451039678626;0,416562717435123;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"35";23;0,429059598958173;1,42576088684618;6,87188125988861;0,429059598958174;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"36";23;0,441931386926919;1,46853371345156;7,60001496705782;0,441931386926919;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"37";23;0,455189328534726;1,51258972485511;8,36978549657758;0,455189328534726;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"38";23;0,468845008390768;1,55796741660076;9,18833683748951;0,468845008390768;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"39";23;0,482910358642491;1,60470643909879;10,0428907802191;0,482910358642491;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"40";23;0,497397669401766;1,65284763227175;10,9265204102629;0,497397669401766;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
"41";23;0,512319599483819;1,7024330612399;11,8584284456895;0,512319599483819;19,3652987733074;1,57033344724066;75;35;60;25;0,854;0,06;0,03;0,02;0,01;0,01;1;0,03;"EAN";"RP2014_Employee_total";5;30
